"filename", "language", "Markdown", "JavaScript", "vue", "JSON", "JSON with Comments", "HTML", "XML", "comment", "blank", "total"
"d:\2024202501\Introduction\NewWebApp\README.md", "Markdown", 18, 0, 0, 0, 0, 0, 0, 0, 12, 30
"d:\2024202501\Introduction\NewWebApp\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\2024202501\Introduction\NewWebApp\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\2024202501\Introduction\NewWebApp\package-lock.json", "JSON", 0, 0, 0, 4712, 0, 0, 0, 0, 1, 4713
"d:\2024202501\Introduction\NewWebApp\package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"d:\2024202501\Introduction\NewWebApp\src\App.vue", "vue", 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"d:\2024202501\Introduction\NewWebApp\src\api\user.js", "JavaScript", 0, 193, 0, 0, 0, 0, 0, 44, 59, 296
"d:\2024202501\Introduction\NewWebApp\src\assets\logo\icon_wemeet.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\2024202501\Introduction\NewWebApp\src\assets\logo\logout.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\AdminHeader.vue", "vue", 0, 0, 49, 0, 0, 0, 0, 0, 8, 57
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\BaseHeader.vue", "vue", 0, 0, 55, 0, 0, 0, 0, 0, 5, 60
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MainHeader.vue", "vue", 0, 0, 166, 0, 0, 0, 0, 3, 19, 188
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MainSider.vue", "vue", 0, 0, 121, 0, 0, 0, 0, 0, 13, 134
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingFooter.vue", "vue", 0, 0, 244, 0, 0, 0, 0, 4, 26, 274
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingHeader.vue", "vue", 0, 0, 49, 0, 0, 0, 0, 0, 9, 58
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingSider.vue", "vue", 0, 0, 133, 0, 0, 0, 0, 9, 17, 159
"d:\2024202501\Introduction\NewWebApp\src\components\search\SearchFriend.vue", "vue", 0, 0, 289, 0, 0, 0, 0, 3, 42, 334
"d:\2024202501\Introduction\NewWebApp\src\components\usersetting\ProfileChange.vue", "vue", 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"d:\2024202501\Introduction\NewWebApp\src\main.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"d:\2024202501\Introduction\NewWebApp\src\router\index.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 3, 134
"d:\2024202501\Introduction\NewWebApp\src\stores\counter.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 22, 9, 42
"d:\2024202501\Introduction\NewWebApp\src\utils\request.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 1, 8, 40
"d:\2024202501\Introduction\NewWebApp\src\views\admin\Admin.vue", "vue", 0, 0, 172, 0, 0, 0, 0, 0, 21, 193
"d:\2024202501\Introduction\NewWebApp\src\views\login\AccountLogin.vue", "vue", 0, 0, 144, 0, 0, 0, 0, 4, 23, 171
"d:\2024202501\Introduction\NewWebApp\src\views\login\EmailLogin.vue", "vue", 0, 0, 141, 0, 0, 0, 0, 4, 16, 161
"d:\2024202501\Introduction\NewWebApp\src\views\main\BookMeeting.vue", "vue", 0, 0, 137, 0, 0, 0, 0, 0, 17, 154
"d:\2024202501\Introduction\NewWebApp\src\views\main\Chat.vue", "vue", 0, 0, 342, 0, 0, 0, 0, 2, 36, 380
"d:\2024202501\Introduction\NewWebApp\src\views\main\Friend.vue", "vue", 0, 0, 265, 0, 0, 0, 0, 1, 37, 303
"d:\2024202501\Introduction\NewWebApp\src\views\main\JoinMeeting.vue", "vue", 0, 0, 116, 0, 0, 0, 0, 4, 16, 136
"d:\2024202501\Introduction\NewWebApp\src\views\main\Main.vue", "vue", 0, 0, 59, 0, 0, 0, 0, 0, 7, 66
"d:\2024202501\Introduction\NewWebApp\src\views\main\Record.vue", "vue", 0, 0, 164, 0, 0, 0, 0, 2, 15, 181
"d:\2024202501\Introduction\NewWebApp\src\views\main\RecordDetail.vue", "vue", 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"d:\2024202501\Introduction\NewWebApp\src\views\main\Schedule.vue", "vue", 0, 0, 206, 0, 0, 0, 0, 1, 18, 225
"d:\2024202501\Introduction\NewWebApp\src\views\main\Setting.vue", "vue", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\2024202501\Introduction\NewWebApp\src\views\main\User.vue", "vue", 0, 0, 380, 0, 0, 0, 0, 2, 36, 418
"d:\2024202501\Introduction\NewWebApp\src\views\meeting\Meeting.vue", "vue", 0, 0, 394, 0, 0, 0, 0, 0, 28, 422
"d:\2024202501\Introduction\NewWebApp\src\views\register\Register.vue", "vue", 0, 0, 130, 0, 0, 0, 0, 0, 17, 147
"d:\2024202501\Introduction\NewWebApp\src\views\test\button.vue", "vue", 0, 0, 44, 0, 0, 0, 0, 0, 4, 48
"d:\2024202501\Introduction\NewWebApp\src\views\test\plusIcon.vue", "vue", 0, 0, 24, 0, 0, 0, 0, 0, 0, 24
"d:\2024202501\Introduction\NewWebApp\src\views\test\test.vue", "vue", 0, 0, 231, 0, 0, 0, 0, 1, 20, 252
"d:\2024202501\Introduction\NewWebApp\vite.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"Total", "-", 18, 404, 4139, 4739, 8, 13, 2, 108, 576, 10007
