"filename", "language", "JavaScript", "vue", "XML", "JSON", "JSON with Comments", "HTML", "Markdown", "comment", "blank", "total"
"d:\2024202501\Introduction\NewWebApp\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -18, 0, -12, -30
"d:\2024202501\Introduction\NewWebApp\index.html", "HTML", 0, 0, 0, 0, 0, -13, 0, 0, -1, -14
"d:\2024202501\Introduction\NewWebApp\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, -8, 0, 0, 0, -1, -9
"d:\2024202501\Introduction\NewWebApp\package-lock.json", "JSON", 0, 0, 0, -4712, 0, 0, 0, 0, -1, -4713
"d:\2024202501\Introduction\NewWebApp\package.json", "JSON", 0, 0, 0, -27, 0, 0, 0, 0, -1, -28
"d:\2024202501\Introduction\NewWebApp\src\App.vue", "vue", 0, -7, 0, 0, 0, 0, 0, 0, -6, -13
"d:\2024202501\Introduction\NewWebApp\src\api\user.js", "JavaScript", -82, 0, 0, 0, 0, 0, 0, -24, -26, -132
"d:\2024202501\Introduction\NewWebApp\src\assets\logo\icon_wemeet.svg", "XML", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"d:\2024202501\Introduction\NewWebApp\src\assets\logo\logout.svg", "XML", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\AdminHeader.vue", "vue", 0, -46, 0, 0, 0, 0, 0, 0, -9, -55
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\BaseHeader.vue", "vue", 0, -55, 0, 0, 0, 0, 0, 0, -5, -60
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MainHeader.vue", "vue", 0, -166, 0, 0, 0, 0, 0, -3, -19, -188
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MainSider.vue", "vue", 0, -115, 0, 0, 0, 0, 0, 0, -11, -126
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingFooter.vue", "vue", 0, -118, 0, 0, 0, 0, 0, -1, -17, -136
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingHeader.vue", "vue", 0, -49, 0, 0, 0, 0, 0, 0, -9, -58
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingSider.vue", "vue", 0, -149, 0, 0, 0, 0, 0, -2, -16, -167
"d:\2024202501\Introduction\NewWebApp\src\components\usersetting\ProfileChange.vue", "vue", 0, -38, 0, 0, 0, 0, 0, 0, -7, -45
"d:\2024202501\Introduction\NewWebApp\src\main.js", "JavaScript", -23, 0, 0, 0, 0, 0, 0, 0, -7, -30
"d:\2024202501\Introduction\NewWebApp\src\router\index.js", "JavaScript", -111, 0, 0, 0, 0, 0, 0, 0, -3, -114
"d:\2024202501\Introduction\NewWebApp\src\stores\counter.js", "JavaScript", -11, 0, 0, 0, 0, 0, 0, -22, -9, -42
"d:\2024202501\Introduction\NewWebApp\src\utils\request.js", "JavaScript", -31, 0, 0, 0, 0, 0, 0, -1, -6, -38
"d:\2024202501\Introduction\NewWebApp\src\views\admin\Admin.vue", "vue", 0, -135, 0, 0, 0, 0, 0, 0, -21, -156
"d:\2024202501\Introduction\NewWebApp\src\views\login\AccountLogin.vue", "vue", 0, -141, 0, 0, 0, 0, 0, -4, -23, -168
"d:\2024202501\Introduction\NewWebApp\src\views\login\EmailLogin.vue", "vue", 0, -140, 0, 0, 0, 0, 0, -4, -16, -160
