Date : 2024-12-19 13:56:18
Directory : f:\NewWebApp\src
Total : 74 files,  -3000 codes, 38 comments, 215 blanks, all -2747 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |         54 |      1,642 |         16 |        188 |      1,846 |
| JavaScript         |         11 |        136 |         22 |         43 |        201 |
| XML                |          4 |          0 |          0 |          0 |          0 |
| JSON with Comments |          1 |         -8 |          0 |         -1 |         -9 |
| HTML               |          1 |        -13 |          0 |         -1 |        -14 |
| Markdown           |          1 |        -18 |          0 |        -12 |        -30 |
| JSON               |          2 |     -4,739 |          0 |         -2 |     -4,741 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |         35 |      4,596 |        107 |        605 |      5,308 |
| . (Files)                                                                         |          2 |         30 |          0 |         13 |         43 |
| api                                                                               |          1 |        213 |         47 |         70 |        330 |
| assets                                                                            |          2 |          2 |          0 |          0 |          2 |
| assets\logo                                                                       |          2 |          2 |          0 |          0 |          2 |
| components                                                                        |          9 |      1,160 |         19 |        145 |      1,324 |
| components\layouts                                                                |          7 |        833 |         16 |         96 |        945 |
| components\search                                                                 |          1 |        289 |          3 |         42 |        334 |
| components\usersetting                                                            |          1 |         38 |          0 |          7 |         45 |
| d:\                                                                               |         39 |     -7,596 |        -69 |       -390 |     -8,055 |
| d:\2024202501                                                                     |         39 |     -7,596 |        -69 |       -390 |     -8,055 |
| d:\2024202501\Introduction                                                        |         39 |     -7,596 |        -69 |       -390 |     -8,055 |
| d:\2024202501\Introduction\NewWebApp                                              |         39 |     -7,596 |        -69 |       -390 |     -8,055 |
| d:\2024202501\Introduction\NewWebApp (Files)                                      |          6 |     -4,793 |         -1 |        -19 |     -4,813 |
| d:\2024202501\Introduction\NewWebApp\src                                          |         33 |     -2,803 |        -68 |       -371 |     -3,242 |
| d:\2024202501\Introduction\NewWebApp\src (Files)                                  |          2 |        -30 |          0 |        -13 |        -43 |
| d:\2024202501\Introduction\NewWebApp\src\api                                      |          1 |        -82 |        -24 |        -26 |       -132 |
| d:\2024202501\Introduction\NewWebApp\src\assets                                   |          2 |         -2 |          0 |          0 |         -2 |
| d:\2024202501\Introduction\NewWebApp\src\assets\logo                              |          2 |         -2 |          0 |          0 |         -2 |
| d:\2024202501\Introduction\NewWebApp\src\components                               |          8 |       -736 |         -6 |        -93 |       -835 |
| d:\2024202501\Introduction\NewWebApp\src\components\layouts                       |          7 |       -698 |         -6 |        -86 |       -790 |
| d:\2024202501\Introduction\NewWebApp\src\components\usersetting                   |          1 |        -38 |          0 |         -7 |        -45 |
| d:\2024202501\Introduction\NewWebApp\src\router                                   |          1 |       -111 |          0 |         -3 |       -114 |
| d:\2024202501\Introduction\NewWebApp\src\stores                                   |          1 |        -11 |        -22 |         -9 |        -42 |
| d:\2024202501\Introduction\NewWebApp\src\utils                                    |          1 |        -31 |         -1 |         -6 |        -38 |
| d:\2024202501\Introduction\NewWebApp\src\views                                    |         17 |     -1,800 |        -15 |       -221 |     -2,036 |
| d:\2024202501\Introduction\NewWebApp\src\views\admin                              |          1 |       -135 |          0 |        -21 |       -156 |
| d:\2024202501\Introduction\NewWebApp\src\views\login                              |          2 |       -281 |         -8 |        -39 |       -328 |
| d:\2024202501\Introduction\NewWebApp\src\views\main                               |          9 |     -1,105 |         -7 |       -128 |     -1,240 |
| d:\2024202501\Introduction\NewWebApp\src\views\meeting                            |          1 |        -31 |          0 |         -5 |        -36 |
| d:\2024202501\Introduction\NewWebApp\src\views\register                           |          1 |       -130 |          0 |        -17 |       -147 |
| d:\2024202501\Introduction\NewWebApp\src\views\test                               |          3 |       -118 |          0 |        -11 |       -129 |
| router                                                                            |          1 |        131 |          0 |          3 |        134 |
| stores                                                                            |          1 |         11 |         22 |          9 |         42 |
| utils                                                                             |          1 |         31 |          1 |          8 |         40 |
| views                                                                             |         18 |      3,018 |         18 |        357 |      3,393 |
| views\admin                                                                       |          1 |        172 |          0 |         21 |        193 |
| views\login                                                                       |          2 |        316 |          8 |         41 |        365 |
| views\main                                                                        |         10 |      1,878 |         10 |        227 |      2,115 |
| views\meeting                                                                     |          1 |        364 |          0 |         30 |        394 |
| views\register                                                                    |          1 |        130 |          0 |         17 |        147 |
| views\test                                                                        |          3 |        158 |          0 |         21 |        179 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\2024202501\Introduction\NewWebApp\README.md                                    | Markdown           |        -18 |          0 |        -12 |        -30 |
| d:\2024202501\Introduction\NewWebApp\index.html                                   | HTML               |        -13 |          0 |         -1 |        -14 |
| d:\2024202501\Introduction\NewWebApp\jsconfig.json                                | JSON with Comments |         -8 |          0 |         -1 |         -9 |
| d:\2024202501\Introduction\NewWebApp\package-lock.json                            | JSON               |     -4,712 |          0 |         -1 |     -4,713 |
