"filename", "language", "JavaScript", "vue", "XML", "comment", "blank", "total"
"f:\NewWebApp\src\App.vue", "vue", 0, 7, 0, 0, 6, 13
"f:\NewWebApp\src\api\user.js", "JavaScript", 315, 0, 0, 54, 37, 406
"f:\NewWebApp\src\assets\logo\icon_wemeet.svg", "XML", 0, 0, 1, 0, 0, 1
"f:\NewWebApp\src\assets\logo\logout.svg", "XML", 0, 0, 1, 0, 0, 1
"f:\NewWebApp\src\components\layouts\AdminHeader.vue", "vue", 0, 49, 0, 0, 8, 57
"f:\NewWebApp\src\components\layouts\BaseHeader.vue", "vue", 0, 55, 0, 0, 5, 60
"f:\NewWebApp\src\components\layouts\MainHeader.vue", "vue", 0, 169, 0, 3, 19, 191
"f:\NewWebApp\src\components\layouts\MainSider.vue", "vue", 0, 124, 0, 0, 13, 137
"f:\NewWebApp\src\components\layouts\MeetingFooter.vue", "vue", 0, 243, 0, 5, 26, 274
"f:\NewWebApp\src\components\layouts\MeetingHeader.vue", "vue", 0, 49, 0, 0, 9, 58
"f:\NewWebApp\src\components\layouts\MeetingSider.vue", "vue", 0, 134, 0, 9, 17, 160
"f:\NewWebApp\src\components\search\SearchFriend.vue", "vue", 0, 289, 0, 3, 42, 334
"f:\NewWebApp\src\components\usersetting\ProfileChange.vue", "vue", 0, 38, 0, 0, 7, 45
"f:\NewWebApp\src\main.js", "JavaScript", 27, 0, 0, 13, 10, 50
"f:\NewWebApp\src\router\index.js", "JavaScript", 129, 0, 0, 7, 3, 139
"f:\NewWebApp\src\stores\counter.js", "JavaScript", 11, 0, 0, 22, 9, 42
"f:\NewWebApp\src\stores\useUserStore.js", "JavaScript", 14, 0, 0, 0, 2, 16
"f:\NewWebApp\src\utils\request.js", "JavaScript", 31, 0, 0, 1, 8, 40
"f:\NewWebApp\src\views\admin\Admin.vue", "vue", 0, 172, 0, 0, 21, 193
"f:\NewWebApp\src\views\login\AccountLogin.vue", "vue", 0, 180, 0, 4, 26, 210
"f:\NewWebApp\src\views\login\EmailLogin.vue", "vue", 0, 144, 0, 4, 16, 164
"f:\NewWebApp\src\views\main\BookMeeting.vue", "vue", 0, 137, 0, 0, 17, 154
"f:\NewWebApp\src\views\main\Chat.vue", "vue", 0, 631, 0, 3, 73, 707
"f:\NewWebApp\src\views\main\Friend.vue", "vue", 0, 439, 0, 2, 42, 483
"f:\NewWebApp\src\views\main\JoinMeeting.vue", "vue", 0, 116, 0, 4, 16, 136
"f:\NewWebApp\src\views\main\Main.vue", "vue", 0, 60, 0, 0, 6, 66
"f:\NewWebApp\src\views\main\Record.vue", "vue", 0, 182, 0, 1, 18, 201
"f:\NewWebApp\src\views\main\RecordDetail.vue", "vue", 0, 192, 0, 1, 23, 216
"f:\NewWebApp\src\views\main\Schedule.vue", "vue", 0, 208, 0, 1, 18, 227
"f:\NewWebApp\src\views\main\Setting.vue", "vue", 0, 7, 0, 0, 2, 9
"f:\NewWebApp\src\views\main\User.vue", "vue", 0, 382, 0, 2, 36, 420
"f:\NewWebApp\src\views\meeting\Meeting.vue", "vue", 0, 394, 0, 0, 28, 422
"f:\NewWebApp\src\views\register\Register.vue", "vue", 0, 130, 0, 0, 17, 147
"f:\NewWebApp\src\views\test\button.vue", "vue", 0, 44, 0, 0, 4, 48
"f:\NewWebApp\src\views\test\plusIcon.vue", "vue", 0, 24, 0, 0, 0, 24
"f:\NewWebApp\src\views\test\test.vue", "vue", 0, 90, 0, 0, 17, 107
"Total", "-", 527, 4689, 2, 139, 601, 5958
